Artista,Seguidores,Tipo,Fecha y Hora,KPI,Likes,Comentarios,Caption,Palabras en Caption,Número de hashtags,Hashtags
Los Hermanos Ariza Show,23100,Video,2024-09-09 21:11:29-05:00,0.011212121212121211,259,3,"Tuve Alama de guerrero 
.
.
#elgrangallo #hermanosarizashow #arıza #new #letras #colombia #MEXICO #fy #fyy #fyp #fypp #fypシ #fypシ゚viralシ #fypシ゚viral #fypシ❤️💞❤️ #fypreels #fypchallenge #fyppage #fypシ #fypdongggggggg #fypage #caballos #gallero #sueños #realidad #fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp",32,26,"['#elgrangallo', '#hermanosarizashow', '#arıza', '#new', '#letras', '#colombia', '#MEXICO', '#fy', '#fyy', '#fyp', '#fypp', '#fypシ', '#fypシ', '#fypシ', '#fypシ', '#fypreels', '#fypchallenge', '#fyppage', '#fypシ', '#fypdongggggggg', '#fypage', '#caballos', '#gallero', '#sueños', '#realidad', '#fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp']"
Los Hermanos Ariza Show,23100,Video,2024-09-07 18:21:47-05:00,0.008398268398268398,194,8,"Familia ❤️‍🔥 ¿ya escucharon nuestra nueva canción? 🎶 Gracias a todos los que están reproduciendo, comentando y compartiendo El Gran Gallo. 🤩🙏🏽 #hermanosarizashow #musicanorteña",24,2,"['#hermanosarizashow', '#musicanorteña']"
Los Hermanos Ariza Show,23100,Video,2024-09-05 21:10:47-05:00,-4.329004329004329e-05,-1,41,"¿Cual es la mejor canción? 🤠🪗
@hermanosarizashow.oficial hoy estan de lanzamiento despues de 16 años! “El Gran Gallo”
#Temazo #DavidMasPopular
#Norteña #Despecho",22,4,"['#Temazo', '#DavidMasPopular', '#Norteña', '#Despecho']"
Los Hermanos Ariza Show,23100,Video,2024-09-03 19:37:36-05:00,0.010995670995670996,254,11,¡Se acerca la fecha! ❤️‍🔥 lanzamiento El Gran Gallo 🪗 no se lo pueden perder familia 🥳🔥 #hermanosarizashow #musicanorteña,19,2,"['#hermanosarizashow', '#musicanorteña']"
Los Hermanos Ariza Show,23100,Video,2024-08-31 14:06:04-05:00,0.007619047619047619,176,4,"Una canción del año 1992 que ustedes siguen cantando con nosotros, ¡Gracias familia! ❤️‍🔥❤️‍🔥",14,0,[]
Los Hermanos Ariza Show,23100,Video,2024-08-30 17:52:48-05:00,0.0060173160173160175,139,2,¿Están listos para escribir con nosotros esta nueva historia? ❤️‍🔥 7 días familia para el lanzamiento de nuestra nueva canción . 🎶 #musicanorteña #hermanosarizashow,24,2,"['#musicanorteña', '#hermanosarizashow']"
Los Hermanos Ariza Show,23100,Video,2024-08-29 17:30:38-05:00,0.005541125541125541,128,4,"Más fuertes que nunca. ¡Por siempre, Ariza Show! Estamos a 8 días de “El Gran Gallo” familia 🪗❤️‍🔥🥳 #musicanorteña #hermanosarizashow",20,2,"['#musicanorteña', '#hermanosarizashow']"
Los Hermanos Ariza Show,23100,Video,2024-08-27 18:09:31-05:00,0.005497835497835498,127,6,"Todo esto es por ustedes, ¡gracias familia! ❤️‍🔥 no se despeguen, estamos a 10 días. ¡Por siempre, Ariza Show! 🪗❤️‍🔥🥳 #hermanosarizashow #musicanorteña",22,2,"['#hermanosarizashow', '#musicanorteña']"
Los Hermanos Ariza Show,23100,Video,2024-08-26 19:04:52-05:00,0.008917748917748918,206,3,"Yo vengo de abajo, yo empecé de cero. 🙏🏽❤️‍🔥 El 5 de septiembre familia salimos con nuestra más reciente canción “El gran Gallo”. 🎶 #hermanosarizashow #musicanorteña",26,2,"['#hermanosarizashow', '#musicanorteña']"
Los Hermanos Ariza Show,23100,Video,2024-08-25 17:34:03-05:00,0.010606060606060607,245,7,"Más de 35 años llevando la música norteña a cada rincón de Colombia. El camino no ha sido fácil, pero con ustedes logramos alcanzar la meta. Estamos a 12 días familia. ❤️‍🔥🪗 
¡Por siempre, Ariza Show! 🤩🔊 #hermanosarizashow #musicanorteña",39,2,"['#hermanosarizashow', '#musicanorteña']"
