Artista,Seguidores,Tipo,Fecha y Hora,KPI,Likes,Comentarios,Caption,Palabras en Caption,Número de hashtags,Hashtags
Los Hermanos Ariza Show,23100,Carrusel,2024-09-11 18:36:26-05:00,0.022424242424242423,518,5,"Familia gracias por siempre apoyarnos ❤️‍🔥🔥 Sigan escuchando El Gran Gallo, por todas las plataformas digitales.  #hugoariza #hermanosarizashow",18,2,"['#hugoariza', '#hermanosarizashow']"
Los Hermanos Ariza Show,23100,Reel,2024-09-04 20:49:30-05:00,0.04606060606060606,1064,29,"¡Mañana a las 8PM El Gran Gallo Familia, por todas las plataformas digitales! ❤️‍🔥🎶 #hermanosarizashow #musicanorteña",16,2,"['#hermanosarizashow', '#musicanorteña']"
Los Hermanos Ariza Show,23100,Reel,2024-09-02 19:55:28-05:00,0.05077922077922078,1173,55,"¿Por qué Hugo Ariza, nuestro fundador no volvió a los escenarios? #hermanosarizashow #hugoariza #musicanorteña",14,3,"['#hermanosarizashow', '#hugoariza', '#musicanorten']"
Los Hermanos Ariza Show,23100,Carrusel,2024-08-24 17:12:14-05:00,0.029480519480519482,681,7,"Ya queremos oírlos corear “El gran Gallo” 
Los queremos familia ❤️‍🔥 pronto nos vemos 😍  Gracias por su cariño📸
¿Están listos para el temazo que se viene? 🪗❤️‍🔥🥳

Comenta con quién vas a oír la canción este 5 de septiembre 🔊🗳️",41,0,[]
Los Hermanos Ariza Show,23100,Reel,2024-08-22 18:13:47-05:00,0.021038961038961038,486,5,"Ustedes son el motor de todo esto. Gracias por acercarse a nosotros y contar las historias de tantos años escuchando nuestra música. 
Esperen “El Gran Gallo” esperamos seguir en sus corazones. Los queremos familia. ¡Por siempre Ariza Show! ❤️‍🔥🪗🥳",39,0,[]
Los Hermanos Ariza Show,23100,Carrusel,2024-08-19 15:15:11-05:00,0.02095238095238095,484,8,Gracias San Carlos de Guaroa. Que publico más hermoso es nuestro llano ❤️‍🔥🪗,13,0,[]
Grupo Dominio,70100,Reel,2024-08-22 09:31:57-05:00,0.024179743223965763,1695,111,"Hoy es jueves y quiero compartir y recordar con ustedes este momento, esta sensación y el orgullo tan grande que sentí el día que mi hija “Miah Salomé” se subió a la tarima y cantó conmigo y con mi grupo @tugrupodominio esta canción que significa tanto para mí SENTIMIENTOS DE CARTÓN 

Ahí se puede ver fácilmente la mirada de un padre feliz, emocionado y orgulloso…
Te amo hija ♥️

#tbt❤️ 
#padreorgulloso 
#sentimientosdecarton",72,3,"['#tbt', '#padreorgulloso', '#sentimientosdecarton']"
Grupo Dominio,70100,Reel,2024-05-26 16:18:58-05:00,0.05316690442225392,3727,47,"Homenaje de Nuestro Grupo Dominio , al compositor más grande  de la música vallenata 🪗❤️‍🔥 
@omargeles 
.
.
Socorro Santander, Una noche increíble 🤠🫶🏻",24,0,[]
Pipe Bueno,10000000,Reel,2024-08-26 16:35:16-05:00,0.0323923,323923,2144,"Matching outfits para esta semana.
Mándaselo a tu novi@ para que no te diga que no a
vestirse juntos. 🫶🏻🫶🏻🫶🏻 @pipebueno",21,0,[]
Luis Alfonso,2000000,Reel,2024-08-29 17:54:49-05:00,0.029898,59796,337,¿Quien va a hacer el trend de Soltera hoy? Etiquetenme que voy a compartir a todo el mundo que lo haga 🔥🤠 a las 7pm estará disponible en todas las plataformas 🫶,32,0,[]
