Artista,Seguidores,Tipo,Fecha y Hora,KPI,Likes,Comentarios,Caption,Palabras en Caption,Número de hashtags,Hashtags
Pipe Bueno,10000000,Carrusel,2024-09-19 09:44:00-05:00,0.0014625,14625,95,"Boss SS25 SHOW in Milán fashion week !! @boss 
#BeYourOwnBOSS",10,1,['#BeYourOwnBOSS']
Pipe Bueno,10000000,Video,2024-09-18 18:12:45-05:00,-1e-07,-1,218,DÍA 2 BOSS SS25 Show in Milán #BeYourOwnBOSS @boss,9,1,['#BeYourOwnBOSS']
Pipe Bueno,10000000,Carrusel,2024-09-16 08:35:11-05:00,0.008027,80270,187,"Chao Bogotá, Hola Milán y bienvenida la Pre-Venta del Movistar arena desde las 9 am !! Por mis historias y por mi canal de Difusión !!! 🔥🔥🔥🔥🔥",27,0,[]
Pipe Bueno,10000000,Carrusel,2024-09-15 19:38:28-05:00,0.0143807,143807,232,"MIS 3 HIJOS
1. Máximo, Domenic y el tercer hijo “LINDO”
2. Mi hermano menor que ha sido como un hijo
3. Mi “3ER ROUND” en el Movistar arena mañana en PRE-Venta a las 9 am
4. Parchado haciendo maleta pa MILÁN
5. Domenic bravo porque no quiere que nos vayamos
6. Otra foto tirando cara de modelo
7. Desorden del cuarto por el viaje
8. Mi hermano saliendo pa TRAVIS SCOTT sin mi… 😤",75,0,[]
Pipe Bueno,10000000,Carrusel,2024-09-14 18:01:54-05:00,-1e-07,-1,188,3ER ROUND - MOVISTAR ARENA ! Pre-Venta este lunes 16 de sept. Por PRIMERA VEZ con un show en escenario 360 !!no se vayan a quedar por fuera de la fiesta más chimba pa rematar el fin de año !!,40,0,[]
Pipe Bueno,10000000,Video,2024-09-13 09:07:43-05:00,0.0103906,103906,828,"Llego mi TERCER HIJO 😱 !! Y aquí les dejo toda la info pa que lo puedan conocer jajajajaja !! TERCER ROUND - MOVISTAR ARENA 13 de DIC.

Etapas de Venta:
1️⃣ Preventa Movistar Total: del lunes 16 de septiembre a las 9:00am hasta el miércoles 18 de septiembre a las 8:59am 
2️⃣ Preventa Banco Falabella: Del 17 de septiembre a las 9:00am hasta el jueves 19 de septiembre a las 8:59am 
3️⃣ Público General: del 19 de septiembre a las 9:00am o antes si finaliza la preventa Banco Falabella 

🎫 Boletas a la venta por www.tuboleta.com 
GRACIAS A TODO EL EQUIPO QUE HACE PARTE DE ESTE SUEÑO  @bichos2 @businessmanagerjb 
@tuboleta @movistararenaco @breakfast_live @tbl_live",114,0,[]
Pipe Bueno,10000000,Video,2024-09-10 20:05:55-05:00,0.0029524,29524,192,HOY después de 31 años volvemos a ganarle a Argentina en nuestra casa !! Que chimba y felicidades para mi hermosa colombia !! Son los mejores !!,27,0,[]
Pipe Bueno,10000000,Carrusel,2024-09-02 19:44:33-05:00,0.0040741,40741,163,"1. 3 parcero amanecimos cantando
2. Una charla tranquilo a con el flaco antes de subirse en Palmira
3. Grabación con la rata mala… ¿porque estaría haciendo esa cara ?
4. Cantando Tengo ganas con mi parcero Yeison
5. Buena cena con el maestro pepe aguilar, se viene con todo su show en octubre 
6. Una cara de hombre feliz cantando a las 8 am en un escenario",68,0,[]
Pipe Bueno,10000000,Video,2024-08-17 14:42:28-05:00,-1e-07,-1,160,“UNA PREGUNTA” una de Despecho ay ay ay !! O no mi @eljerry__oficial ??? Ya la escucharon ??,18,0,[]
Pipe Bueno,10000000,Carrusel,2024-08-13 19:38:48-05:00,0.0083658,83658,96,"Por estos días…
1. baño de Hielo pa después beber
2. Meditación antes del baño de hielo pa después beber
3. Cumple de miguel con mis dos hijos
4. Tirando aceite en la tarima de Ecuador-Orellana
5. Mitad de concierto ya sabroso 
6. Ya pidiendo caballo prácticamente
7. Y despidiéndome con amor del público",54,0,[]
