Artista,Seguidores,Likes totales,Fecha y Hora,Duración,Visualizaciones,Likes,Comentarios,Compartido,Caption,Palabras en Caption,Hashtags,Número de hashtags
Los Hermanos Ariza Show,209500,1000000,2024-09-05 20:14:48,21,349600,8723,100,436,Familia ya pueden escucharlo en todas las plataformas digitales. ❤️‍🔥 #hermanosarizashow #humbertoariza #hugoariza #andersonarizaoficial #musicanorteña ,15,"['#hermanosarizashow', '#humbertoariza', '#hugoariza', '#andersonarizaoficial', '#musicanorteña']",5
Los Hermanos Ariza Show,209500,1000000,2022-08-24 16:37:37,46,17800000,714400,4347,16700,Cuando la gente se conecta conmigo todo fluye. #belen #boyaca #show #conciertos #corridos #norteña #colombia #musica,16,"['#belen', '#boyaca', '#show', '#conciertos', '#corridos', '#norteña', '#colombia', '#musica']",8
Los Hermanos Ariza Show,209500,1000000,2024-10-02 18:14:12,45,62000,2256,57,64,"Familia esta canción es de ustedes, estamos muy felices con todo el apoyo que todos los días seguimos recibiendo. ¡Por siempre Ariza Show! ❤️‍🔥🎶 Gracias @noticiascaracol @pilarschmitt ",27,[],0
Los Hermanos Ariza Show,209500,1000000,2024-09-29 19:47:32,26,5295,219,11,8,"Una tarde en familia Ariza Show, a nuestro estilo ❤️‍🔥😍#musicanorteña #rancheros #mexico ",12,"['#musicanorteña', '#rancheros', '#mexico']",3
Los Hermanos Ariza Show,209500,1000000,2024-09-28 18:40:16,98,19700,1050,40,11,Ratos que nos encantan 🥳🤠❤️‍🔥🪗#musicanorteña #rancheros #mexico #colombia ,8,"['#musicanorteña', '#rancheros', '#mexico', '#colombia']",4
Los Hermanos Ariza Show,209500,1000000,2024-09-22 17:57:45,18,60300,2484,49,114,"Más de 16 años sin lanzar una canción, pero aquí estamos familia. Gracias a ustedes esto es posible, ya tenemos más de un millón de reproducciones en YouTube. ❤️‍🔥🙏🏽 sigan escuchando El Gran Gallo, pronto venimos con más música.",39,[],0
Los Hermanos Ariza Show,209500,1000000,2024-09-20 20:47:52,25,24800,745,19,11,Gracias a ustedes familia nuestra canción sigue llegando a cada rincón del país y rompiendo fronteras. ❤️‍🔥🪗 #musicanorteña #hermanosarizashow ,19,"['#musicanorteña', '#hermanosarizashow']",2
Los Hermanos Ariza Show,209500,1000000,2024-09-07 18:25:42,29,16100,436,12,58,"Familia ❤️‍🔥  ¿ya escucharon nuestra nueva canción? 🎶 Gracias a todos los que están reproduciendo, comentando y compartiendo El Gran Gallo. 🤩🙏🏽 #hermanosarizashow #musicanorteña ",24,"['#hermanosarizashow', '#musicanorteña']",2
Los Hermanos Ariza Show,209500,1000000,2024-09-04 21:00:19,24,486200,14100,161,179,"¡Mañana a las 8PM El Gran Gallo Familia, por todas las plataformas digitales! ❤️‍🔥🎶 #hermanosarizashow #musicanorteña ",16,"['#hermanosarizashow', '#musicanorteña']",2
Los Hermanos Ariza Show,209500,1000000,2024-09-03 19:43:30,17,61400,1938,36,131,¡Se acerca la fecha! ❤️‍🔥 lanzamiento  El Gran Gallo 🪗 no se lo pueden perder familia 🥳🔥 #hermanosarizashow #musicanorteña ,19,"['#hermanosarizashow', '#musicanorteña']",2
