Artista,Seguidores,Likes totales,Fecha y Hora,Duración,Visualizaciones,Likes,Comentarios,Compartido,Caption,Palabras en Caption,Hashtags,Número de hashtags
Yeison Jiménez,1600000,13500000,2024-08-08 20:03:24,29,5500000,109000,313,1179,"A mí solo me usan pa arreglar relaciones 😅, me pidió que le cantara La Llamada y como que le gusto. O ustedes cómo la ven? 🔥  #nuevamusica #lallamada #yeisonjimenez #viral #longervideo ",32,"['#nuevamusica', '#lallamada', '#yeisonjimenez', '#viral', '#longervideo']",5
Yeison Jiménez,1600000,13500000,2024-08-16 18:58:43,73,685800,29300,232,452,"Así se ve componer un palazo, ya le hizo La Llamada a su ex? ☎️🔥😏🥷🏻 #nuevamusica #lallamada #lanzamiento #yeisonjimenez #conelcorazon ",20,"['#nuevamusica', '#lallamada', '#lanzamiento', '#yeisonjimenez', '#conelcorazon']",5
Yeison Jiménez,1600000,13500000,2024-08-12 20:40:52,80,4800000,180200,754,4525,"Palazo como este, NINGUNO! 🥷🏻 Quién listo pa La Llamada? ☎️🔥 #lallamada #nuevamusica #lanzamiento #longervideo #yeisonjimenez #conelcorazon ",17,"['#lallamada', '#nuevamusica', '#lanzamiento', '#longervideo', '#yeisonjimenez', '#conelcorazon']",6
Yeison Jiménez,1600000,13500000,2024-10-03 19:20:42,42,15900,1777,36,31,"No es que yo lo quiera hacer beber, solo son señales de Dios 🍻😂 #vete #yeisonjimenez #despecho #musicapopular #conelcorazon #desamor ",20,"['#vete', '#yeisonjimenez', '#despecho', '#musicapopular', '#conelcorazon', '#desamor']",6
Yeison Jiménez,1600000,13500000,2024-10-02 18:11:06,38,97900,9935,82,290,"Cuántos se arrepintieron de ajuciarse después de escuchar este junte? Esto es DESTINO FINAL, el palazo de las borracheras 🔥  #destinofinal #yeisonjimenez #luisalfonso #nuevamusica",24,"['#destinofinal', '#yeisonjimenez', '#luisalfonso', '#nuevamusica']",4
Yeison Jiménez,1600000,13500000,2024-10-01 19:45:52,6,45000,3722,20,13,"Y que el último día de mi vida no me falten tus besos, te amo hija ❤️  #amor #yeisonjimenez #viraltiktok",20,"['#amor', '#yeisonjimenez', '#viraltiktok']",3
Yeison Jiménez,1600000,13500000,2024-09-30 15:31:37,46,21100,1387,25,2,Si su familia no grita! NO HUBO ACCIÓN 🧕🏻👨🏻‍🌾🕵🏻‍♀️,9,[],0
Yeison Jiménez,1600000,13500000,2024-09-30 05:16:57,53,85100,6989,97,43,Dubai me encanta! 🫶#@Dubai ,4,[],0
Yeison Jiménez,1600000,13500000,2024-09-30 05:15:30,15,386600,35400,248,383,,0,[],0
Yeison Jiménez,1600000,13500000,2024-09-29 12:36:38,59,62300,5521,76,48,"Que prenda la fiesta y que truene la banda hpp!! Esto se llama DESTINO FINAL, el palazo del año 🔥  #destinofinal #nuevamusica #yeisonjimenez #luisalfonso #yeisonjimenezyluisalfonso #lanzamiento ",26,"['#destinofinal', '#nuevamusica', '#yeisonjimenez', '#luisalfonso', '#yeisonjimenezyluisalfonso', '#lanzamiento']",6
